Recipe,Ingredients,Cuisine,Region
Veg Fried Rice,"rice, carrot, beans, onion, garlic",Chinese,Asian
Paneer Butter Masala,"paneer, tomato, butter, cream",Indian,North India
Chicken Biryani,"chicken, rice, onion, spices",Indian,South India
Pasta Alfredo,"pasta, cheese, cream, garlic",Italian,Western Europe
Paella,"rice, seafood, saffron, vegetables",Spanish,Spain
Fish & Chips,"fish, potato, flour, oil",UK,England
Beef Stroganoff,"beef, sour cream, onion, mushrooms",Russian,Russia
Cheeseburger,"bun, beef patty, cheese, lettuce",American,USA
Pizza,"pizza base, tomato, cheese, onion, capsicum",Italian,Western Europe
Butter Chicken,"chicken, butter, tomato, cream, onion, garlic, ginger, garam masala",Indian,North India

